BATTERYVOLTAGE,DISCOMFORTINDEX,HEARTSTROKERISKFACTOR,HUMIDITY,ID,LIGHT,PRESSURE,SENSORID,SENSORNAME,SOUNDNOISE,TEMPERATURE,TIMESTAMP,UVINDEX
2861,7156,2143,5512,44f14a76-e005-4676-a4d5-4e459c7cde7a,202,10171,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4592,2445,1.53566E+12,3
2861,7156,2143,5512,58d9bcb6-f7f1-49fd-979b-0b29855b7ecc,202,10172,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4758,2445,1.53566E+12,4
2858,7156,2143,5512,e81b5ad7-0599-469c-9420-3daa03d3a261,200,10172,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4485,2445,1.53566E+12,3
2861,7156,2143,5509,a6cca4a7-ecf6-45a8-b258-da025ee19509,200,10171,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4583,2445,1.53566E+12,3
2861,7156,2143,5509,a371d085-4800-4e4e-951a-6d8e3048abba,201,10171,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4687,2445,1.53566E+12,3
2861,7156,2143,5509,765e54eb-d158-489b-b670-daf04ab96d57,200,10172,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4758,2445,1.53566E+12,2
2861,7156,2143,5509,c25486a2-8a6c-4594-bea5-3ccf881f46cc,201,10173,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4662,2445,1.53566E+12,3
2861,7157,2143,5509,f57fa0de-cc8f-4a87-a1e5-be218a26efe9,202,10173,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4662,2446,1.53566E+12,2
2861,7157,2143,5509,c6918841-668c-42ef-afb5-d3958be23db7,202,10173,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4645,2446,1.53566E+12,2
2861,7157,2143,5509,61ef1485-d491-44cb-a889-7934c5fbda24,202,10172,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4687,2446,1.53566E+12,3
2861,7157,2143,5509,aa98f9fb-e130-4f76-a2ce-d56cbe66d4e7,203,10172,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4735,2446,1.53566E+12,3
2861,7158,2144,5509,9ee9737b-2504-4bb0-a6ff-38d49f3551d9,200,10172,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4535,2447,1.53566E+12,3
2861,7158,2144,5509,33e518d8-36d5-47e0-8dbf-28882cd34914,200,10171,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4670,2447,1.53566E+12,3
2812,7256,2257,6376,65b6619d-6258-4fe9-b63c-a56d071c5d2b,149,10175,0c4c3000-7700-46f4-aa96-d5e974e32a54,0597MY0063,5345,2455,1.53566E+12,2
2861,7157,2143,5506,77b68c3a-5ddf-4268-9ef7-a89297fcd361,202,10172,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4564,2446,1.53566E+12,2
2816,7258,2258,6382,907c2da2-902a-431a-8b52-977ffe0975b9,149,10175,0c4c3000-7700-46f4-aa96-d5e974e32a54,0597MY0063,5176,2456,1.53566E+12,3
2861,7158,2144,5506,57c0634b-10cc-48d6-b79e-4b5029025162,203,10172,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4670,2447,1.53566E+12,2
2816,7260,2259,6385,8bab8938-2811-4568-8e1a-80f3c11f40b3,150,10173,0c4c3000-7700-46f4-aa96-d5e974e32a54,0597MY0063,5061,2457,1.53566E+12,2
2861,7158,2144,5506,5fe30cbc-a0ae-4dbe-b449-82342c37fd72,201,10172,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4554,2447,1.53566E+12,2
2812,7262,2261,6391,71420c90-571c-47f8-8352-7ee1fc74f5be,149,10174,0c4c3000-7700-46f4-aa96-d5e974e32a54,0597MY0063,5394,2458,1.53566E+12,2
2861,7158,2144,5506,519da09a-f5d4-46f1-863d-6fcfd134a667,203,10173,0c4c3000-7700-46f4-aa96-d5e974e32a54,2828MY0094,4750,2447,1.53566E+12,2
2816,7262,2261,6393,0cbe14f3-a2f5-4298-a314-d2c26b153542,151,10175,0c4c3000-7700-46f4-aa96-d5e974e32a54,0597MY0063,5260,2458,1.53566E+12,2
